Math,Science,English,History,ComputerScience
77.45,67.93,79.72,92.85,66.49
66.49,93.69,81.51,62.96,78.14
63.05,63.01,73.63,41.30,44.13
61.57,54.81,74.71,56.38,48.82
91.98,66.61,71.01,48.63,61.83
71.66,52.74,75.64,60.99,65.62
60.97,97.78,69.80,54.13,82.34
51.69,73.13,40.60,50.08,72.95
81.08,72.57,68.27,65.48,47.82
59.20,63.09,85.86,75.15,43.55
74.86,64.22,59.85,79.18,85.46
83.97,57.41,65.36,74.97,84.63
62.81,67.22,53.40,52.06,82.19
90.34,68.92,85.05,75.42,60.32
75.42,93.07,69.46,93.47,30.70
82.33,71.31,65.51,71.38,40.19
66.70,75.36,92.17,62.23,57.87
62.47,83.73,74.93,62.05,77.70
71.46,84.53,59.47,65.09,64.12
48.05,74.44,73.92,70.08,66.48
48.77,63.69,64.86,57.97,67.58
76.06,98.29,72.62,73.86,68.88
41.22,69.60,70.90,100.00,67.11
74.52,69.48,52.47,87.14,81.28
81.87,56.36,91.04,48.97,78.80
100.00,55.14,61.51,71.49,62.45
46.74,71.03,54.07,77.10,56.21
93.25,58.25,65.17,82.20,51.54
73.41,89.61,45.89,72.77,73.90
81.73,51.45,50.19,77.83,74.45
73.76,75.20,59.80,73.48,74.40
59.28,97.99,77.11,52.13,79.85
55.38,81.81,87.38,57.69,84.45
76.19,82.33,98.45,66.32,58.69
56.66,57.76,68.84,75.12,74.15
82.41,70.20,91.80,66.03,100.00
79.39,57.14,53.94,77.24,66.65
80.71,77.10,68.91,57.30,47.28
63.30,82.85,73.21,51.31,72.60
75.78,56.74,72.31,70.87,52.86
75.37,78.41,86.25,85.81,49.33
55.93,77.73,77.71,77.73,100.00
78.56,87.03,84.31,79.77,65.27
81.38,58.41,66.45,62.72,71.23
100.00,41.99,80.29,45.81,62.92
86.33,70.96,53.83,59.27,80.19
59.04,73.25,70.68,60.23,100.00
79.51,39.62,72.80,60.07,82.79
58.11,68.28,77.57,82.99,52.00
64.98,62.88,60.20,96.48,76.07
51.09,83.77,100.00,85.49,47.21
62.74,89.00,59.38,76.66,81.62
56.10,69.11,21.38,54.63,66.21
51.28,94.49,48.55,63.40,71.96
91.62,48.46,87.45,70.15,55.28
76.93,72.99,61.00,71.05,64.22
71.70,79.93,93.79,51.43,100.00
40.72,67.72,78.82,74.21,60.66
66.88,62.60,61.16,82.74,75.36
59.61,83.49,74.61,82.19,79.44
57.57,61.60,81.21,79.16,69.69
71.76,89.16,61.13,78.21,66.97
66.73,86.48,82.38,82.20,89.58
70.32,80.23,65.35,74.86,68.05
71.45,78.93,57.73,100.00,54.91
51.79,87.37,81.87,79.36,79.43
69.82,56.54,71.14,59.84,84.63
67.79,57.62,65.18,76.19,61.54
57.67,73.66,73.67,62.40,62.93
73.48,48.28,48.89,59.22,66.80
74.66,92.13,82.86,67.60,69.71
54.96,69.72,65.67,74.84,57.59
77.79,92.99,68.37,76.03,80.35
63.98,73.36,70.19,71.47,58.40
70.37,77.47,91.77,84.39,100.00
58.49,83.08,72.75,100.00,57.88
57.40,61.01,38.14,62.11,58.61
72.26,75.13,98.14,84.26,61.35
56.52,77.38,50.20,97.47,87.69
62.96,44.30,90.31,68.28,88.57
46.08,61.01,70.08,70.70,63.25
79.34,53.99,67.86,71.80,77.72
80.67,53.13,46.99,89.17,74.98
58.77,93.27,71.74,87.69,71.01
100.00,96.33,66.27,84.57,79.68
